userName,teks_ulasan,rating,tanggal_ulasan
Jonathan Sianturi,keren,5,2026-06-17 23:05:19
Wuma 1311,mantap,5,2026-06-17 21:40:13
Main Game,Good,5,2026-06-17 16:02:07
Anisa Ichsandari,"Aplikasi yang memudahkan dalam berkomunikasi jarak jauh, tanpa minimal orang dan waktunya juga panjang sehingga memudahkan orang berkomunikasi.",5,2026-06-17 14:50:21
Feli Taira,menyenangkan dan memudahkan urusan.,5,2026-06-17 14:17:50
Restu Wijaya,sangat berguna untuk pertemuan dalam cakupan banyak orang secara virtual,5,2026-06-17 14:13:13
Arya Putra Prathama,"Dasar aplikasi rusak, banyak bug, ikut meeting malah tidak bisa lihat siapa yang join/siapa pesertanya, membuka komentar juga tidak bisa, tolong perbaiki itu sangat mengganggu!",1,2026-06-17 13:30:16
Andromax 82,Ok,5,2026-06-17 12:16:07
nana ruhayana,Zoom nya jelas dan terang,5,2026-06-17 12:13:30
Annisa Wardani,"Zoom is an excellent video conferencing platform for both professional and personal use. The audio and video quality are reliable, and the interface is simple and easy to navigate. Features such as screen sharing, virtual backgrounds, and meeting recordings make online collaboration much more effective. Overall, Zoom is a dependable tool for communication and remote meetings.",5,2026-06-17 11:02:57
Sandrina Junior,"Zoom itu aplikasi yang menurutku sangat membantu, apalagi buat belajar atau meeting online. Suara dan videonya cukup jelas, jadi enak buat ngobrol walaupun nggak ketemu langsung. Cara pakainya juga gampang, tinggal masuk link langsung bisa gabung. Aku juga suka karena bisa dipakai di HP atau laptop. Pokoknya Zoom itu praktis banget dan layak bintang 5.",5,2026-06-17 10:25:49
Genz Venom,"⭐⭐⭐⭐⭐ (5/5) Zoom merupakan aplikasi konferensi video yang sangat membantu untuk kebutuhan rapat, pembelajaran online, webinar, maupun komunikasi jarak jauh. Aplikasi ini memiliki antarmuka yang sederhana dan mudah digunakan, sehingga cocok untuk berbagai kalangan, mulai dari pelajar, mahasiswa, hingga profesional. Salah satu keunggulan Zoom adalah kualitas video dan audio yang cukup stabil, bahkan pada jaringan internet yang tidak terlalu cepat. Fitur-fitur seperti berbagi layar (screen sharing)",5,2026-06-17 07:30:39
Mohamad Mas vio,"this apps so amazing meeting with client,study aor anything more easy connect with zoom 🥰",5,2026-06-17 06:37:41
Rika Chen,baik,5,2026-06-17 05:10:17
Devin Revel,good,5,2026-06-17 03:56:55
Steven Lunsford,ini gimana sih cara ganti background nya kok gak ada kayaknya dulu ada soalnya lama gak pakai zoom,1,2026-06-17 02:33:11
Erlisty,aplikasinya ngga bisa di instal pdhl memori udh banyak yang kosong sllu gagal di instal,1,2026-06-17 00:46:08
Faj Com,trimakasih zoom workplace GBU,5,2026-06-16 22:38:58
Tri Hartini,mantap,5,2026-06-16 14:22:22
Rifki Farhan,pengiriman kode ke email untuk login sangat lama sekali,1,2026-06-16 11:42:33
Justian,very good,5,2026-06-16 08:21:15
Yunita,bagus,5,2026-06-15 23:23:17
Ahmad Rifai,Zoom Workplace Aplikasi Terbaik 👍🏻,5,2026-06-15 19:54:06
Elsa Dina,cukup baik dan berfungsi,5,2026-06-15 11:08:03
Naomi Kim,Saya kasih bintang 1 karena pas saya mau masuk akun malah tidak bisa 🙏😞,1,2026-06-15 07:37:27
앙가라,좋아요,5,2026-06-15 03:03:09
Dody TP,komunikasi lebih efisien,5,2026-06-15 02:38:57
Nur Apt,baik,5,2026-06-15 00:06:56
Ikhwan Aulia,ribet pake zoom mah!!!!!,1,2026-06-14 14:28:16
Revanda Maulana,Tidak bisa jalan di browser,1,2026-06-14 12:47:45
Rengga Solehudin,aplikasi zoom mending di tutup aja. karna makin kesini . pengguna/para atasan perusahaan lebih seenak nya memakain zoom meeting tnpa batasan waktu . sehingga menghabat pekerjaan . meeting sewajar nya seminggu sekali atau 2 minggu sekali. ini di pakai miting tiap hari karna adanya aplikasi ini . saya pekerja operasional sangat tidak setuju adaanya aplikasi ini .,1,2026-06-14 12:30:21
OPPPK_Kota.Bekasi98_03_Nano Susandi,sangat bagus,5,2026-06-14 09:57:29
akmaludin S.Sos.I,oke,5,2026-06-14 03:12:23
rudi abis,sangat membantu,5,2026-06-14 02:58:54
Rita Vera,bagus,5,2026-06-14 00:08:42
Kian Min,Gambar yg bagus saat ini suara tidak delay lagi,5,2026-06-13 12:57:45
Brayend Xiv,good,5,2026-06-13 12:40:53
Abdi Hakim,terima kasih zoom 😍💯,5,2026-06-13 09:06:50
Bumdes Trenggalek,Baik,5,2026-06-13 06:27:06
Harlan Simon,kenapa ga bisa buka kolom komentar sihh,1,2026-06-13 03:32:00
Mohammad Sulkhan,mantap,5,2026-06-13 01:00:50
MAYA SAJA,i like this page's,4,2026-06-12 16:42:30
Lili Wahyuni,sangat membantu dalam business,5,2026-06-12 14:00:24
ahaz gold,sangat keren,4,2026-06-12 11:16:18
Mandarin Serieal,makin kesini makin lelet aplikasinya,1,2026-06-12 08:27:39
Nathanael Lie Pangau,"Zoom apps meniadakan hambatan jarak, menyatukan perbedaan, mewujudkan solusi.",5,2026-06-12 06:14:05
Herdin Fernando,bermanfaat banget,5,2026-06-12 01:26:07
robiah biah,kenapa waktu mengikuti yang terlihat hanya 3 orang padahal didalam ada 27 orang peserta. dan biground saya udah saya setting masih tidak bisa. mohon diperbaiki workplace nya.,5,2026-06-11 21:50:33
Animasi Nafis,"apk homok. mau join zoom kuliah mesti banyak drama ga bisa masuk room lah, mik nyala sendiri lah. tolong di perbaiki bug bug yang ada",1,2026-06-11 12:06:12
Muhammad Husen,LAGI INTERVIEW TIBA TIBA SINYAL JELEK. PADAHAL DATA 30GB PENYIMPANAN MASIH BANYAK APK GA JELASS PAYAHH👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾,1,2026-06-11 07:22:48
Rudi Azhar,Zoom byk manfaat,5,2026-06-11 07:16:00
S3no Mst,sangat membantu,5,2026-06-11 04:45:02
erwinda maya,memudahkan pengguna untuk memulai komunikasi face to face tanpa terhalang jarak,5,2026-06-11 03:28:54
shevia panjaitan,Membantu sekali untuk perkuliahan,5,2026-06-11 02:06:34
ADE IMAM ZAELANI,good job,5,2026-06-11 02:02:27
N'cep Dudi,Aplikasi wajib untuk kerja remote! Kualitas video sangat jernih dan koneksinya stabil dibanding aplikasi sejenis. Fitur ganti latar belakang (virtual background) sangat membantu saat ruangan berantakan. Sangat direkomendasikan.,5,2026-06-11 01:30:48
Claudya Claw,"sangat membantu, sejak jaman covid, sudah banyak update yg semakin membuatbtampilan zoom menarik",5,2026-06-11 01:00:03
Joan,Platform andalan untuk meeting online dan kuliah digital. Kualitas audio dan videonya sangat jernih bahkan dengan koneksi internet yang standar. Fitur breakout rooms dan screen sharing sangat mendukung produktivitas kerja kelompok.,5,2026-06-11 00:54:26
djaharoh ds 1959,Cukup banyak membantu bersosialisasi,5,2026-06-11 00:29:53
Misrani Albanjari,bagus sekali,5,2026-06-11 00:17:28
awalia citra,bintang 5 deh soalnya cucooo meong sayyyy,5,2026-06-10 19:35:24
Adinda Hermawati,"kesel suka eror melulu, mana lemot parah!!",1,2026-06-10 12:22:08
Aripin pranata,keluar masuk aplikasinya,1,2026-06-10 03:51:54
nunaaa hanun,This application helps my learning process (tutoring) become easier even though it is long distance. i like it,5,2026-06-10 02:38:15
Alpi Syahri,baik,5,2026-06-09 14:55:32
Matius Prapto,👍👍👍👍👍,5,2026-06-09 13:29:15
Devil Slayer,gak bisa pakai backround,1,2026-06-09 04:15:52
Mahroni,tidak bisa ganti baground,1,2026-06-09 02:28:46
Ade Sadewa,bagus,5,2026-06-09 01:15:27
RIDWAN hayatulloh,"saat mencoba masuk menggunakan akun selalu gagal di bagian kode verifikasi, padahal kode yang ditulis sama dengan yang terkirim di Gmail, tapi di aplikasi tertulis kode verifikasi salah",1,2026-06-08 17:01:13
Dwi sutriyanto,masukin bragroun lewat hp sekarang gak bisa lebih jelek zoom,1,2026-06-08 14:43:07
Elvinna Nababan,lumayan,5,2026-06-08 13:57:18
MHS GOOD,bagus,5,2026-06-08 13:55:46
Bernardus Wairisal,Sangat tertolong dengan fasilitas zoom yang sangat luar biasa dan semakin bermanfaat ini 👍👍👍,5,2026-06-08 13:27:49
Sadilih Dilih,Semoga sukses selalu dalam munuju bisnis segala sesuwatunya,5,2026-06-08 12:19:02
Dzaki Nauval,Ketika menggunakan zoom sering keluar sendiri entah kenapa,1,2026-06-08 10:24:02
Annisa Young,dibilang nya penyimpanan gak mencukupi padahal aku udah hapus banyak app,1,2026-06-08 09:19:22
Ary dharmawan,gajelas kode verifikasi udah sesuai malah salah,1,2026-06-08 09:08:24
Laks Mana (Manu),ok mantap,5,2026-06-08 06:17:33
zainul arifin,ukuran terlalu besar untuk aplikasi yang dipakai cuma online meeting saja. saran perkecil ukuranya atau pisah dengan membuat aplikasi yang lebih ringan dan fitur basic untuk penggunaan aplikasi zoom yang tidak setiap saat dipakai online meeting,1,2026-06-08 04:34:58
Tanzil karomi,baik,5,2026-06-08 04:20:10
Nald Hia,sangat bagus,5,2026-06-08 04:10:22
Doddy Ariansyah,"Zoom adalah aplikasi konferensi video yang sangat diandalkan dengan kualitas audio dan video yang stabil, bahkan pada koneksi internet standar. Fiturnya sangat lengkap, mulai dari screen sharing, breakout rooms, hingga latar belakang virtual yang mendukung produktivitas kerja dan belajar jarak jauh. Antarmukanya intuitif dan mudah digunakan oleh pemula. Sayangnya, durasi rapat versi gratis dibatasi 40 menit dan terkadang memakan konsumsi baterai serta RAM yang cukup besar pada perangkat.",5,2026-06-07 16:43:57
Adi. C,aku benci bgt pakai Zoom,2,2026-06-07 10:13:34
pen hendra,baik dan bagus,3,2026-06-07 08:54:53
Tama Adji,"aplikasi setelah didownload tidak dapat memunculkan fitur chat pada zoom,",1,2026-06-07 02:49:52
"irsyad , aLdis , siregar .","p , bagus , apLikasi , nya .",5,2026-06-06 12:30:05
gサントソ,backrground virtual tidak bisa digunakan,1,2026-06-06 11:50:05
Nurdinbm Nurdinbm,mantap,5,2026-06-06 09:34:33
Latanza Hanum,Ok,5,2026-06-06 03:10:49
Rahmat Wibowo,sangat berguna,5,2026-06-05 11:16:44
scarllate jaem,"jelekk. baru kali ini stuck di lobby, gabisa masuk ke room diskusi dosen",1,2026-06-05 04:02:16
Nurjamil Johan,"sy menggunakan huawei tab kolom chatnya tidak bisa diklik dan pesan juga tidak muncul padahal sebelumnya bisa sebelum update, hal ini jadi sangat mengganggu tapi klo saya buka di hp xiaomi kolom chatnya kebuka padahal sama sama android mohon di perbaiki bug nya",3,2026-06-05 02:04:21
johny korwa,baik,5,2026-06-05 01:55:23
Agustinus Jamlean,bagus,4,2026-06-05 01:40:28
Didin Nursidin,mantap,5,2026-06-05 00:02:36
Dicky Ibrahim,bagus,5,2026-06-04 23:54:06
Yulitera Gombo,sangat mempermamfaat,1,2026-06-04 23:08:13
Muhammad Hanzhalah,Terima kasih zoom. apk yg sangat bagus,5,2026-06-04 23:02:48
Mukti Ali,semangat selalu,5,2026-06-04 08:54:00
Intan Mas Duha,good,5,2026-06-04 03:05:40
Yuli Wulansari,"di hp saya yg sekarang ini saya tidak bisa menggunakan beground tambahan tapi di hp lain bisa menggunakan beground,knp bisa beda ya? apakah beda hp beda beda penggunaanya ?",1,2026-06-04 03:01:31
` Vlynansia `,"Apa yang membedakan aplikasi ini sebenarnya? Ada aplikasi serupa dari Google, G-Meet, malah lebih ramah penyimpanan. Fitur lengkap dan lain sebagainya. Zoom termasuk saingan G-Meet yg cukup kompeten. Tapi saya rasa, semakin lama Zoom semakin kikir. Besarnya aplikasi dan borosnya pemakaian kuota membuat Zoom memiliki nilai minus yang cukup terasa. Better ke depannya di optimalisasi.",2,2026-06-04 01:24:04
sohibul hidayat,Mantap,4,2026-06-04 00:35:56
TAUFIK FAJAR SEPTIAWAN,semoga yang samsung memakai os exynose bisa ada di tambah vitur ganti background seperti di hp yang lainnya,1,2026-06-03 23:09:42
Jenal Pasengoran,"sangat berguna untuk mempermudah pertemuan secara online,saya ucapkan terimaksih bagi yang telah membuat aplikasi zoom ini,menurut keyakinan saya,TUHAN YESUS memberkati ,apabilah ada salah kata,atau ada kata yang tidak berkenan mohon di maafkan 🙏",5,2026-06-03 15:07:01
agus andi,buat rakornas dan skill up,5,2026-06-03 12:21:28
Risma Fadhila,"APK BUSUK, JELEK, KEBIJAKAN GA JELAS. JUJUR GA PERNAH IKHLAS",1,2026-06-03 09:22:25
Tri Wahyono,bgus,5,2026-06-03 07:13:14
Yan Nelson,"perampok, langganan tidak bisa dibatalkan",1,2026-06-03 04:23:45
Indhy,kouta saya cepat habis,5,2026-06-02 12:33:41
Aspar Putra Setia,mantaplah,5,2026-06-02 07:47:25
Akbar Jhoezoya,"Zoom makes online meetings simple and reliable. The video and audio quality are clear, and I rarely experience connection issues. Perfect for both work and personal use.",5,2026-06-02 04:58:43
Ayu Asrhida,aplikasi yang sangat membantu dalam pekerjaan mempermudah dan menghemat biaya untuk rapat,5,2026-06-02 04:40:26
Hannah Bolton,"Paling stabil & jelas! Video/audio jernih, fitur lengkap, gampang dipakai. Sekolah/kerja lancar jaya. Terbaik! 📹✅",5,2026-06-02 03:46:03
asep kurnia,bagus,5,2026-06-02 03:23:46
Herdina Pasaribu,bikin background aja sulit,1,2026-06-02 02:21:59
Aloysius Herin,luarbiasa,5,2026-06-02 01:10:00
Donny noer adhi Grab,ngeselin,1,2026-06-01 11:36:25
Intannjani,susah bgt di downloadny,1,2026-06-01 09:12:25
Miftahul Arifin1922,saya menggunakan android versi terbaru tapi mau ganti baground ketika zoom g bisa selalu an error mohon diperbaiki supaya penggunaanya lebih mudah sprti semula,3,2026-06-01 05:15:38
Alexander D.,kerenn,5,2026-06-01 03:04:11
Recook - Kitchen,penggunaan nya sangat mudah,5,2026-05-31 23:42:11
Megapad Tegal,ok,5,2026-05-31 08:03:46
Muhammad Maksum,ini aplikasi yg berguna buat saya. untuk meeting dan untuk menambah ilmu. mantap !!!!,5,2026-05-31 07:37:13
Ipunkuye,sangat membantu u tuk perkuliahan,5,2026-05-31 05:07:15
Ranny DPS,Good,5,2026-05-31 01:55:39
Maskud,mantab,5,2026-05-30 23:57:38
Zainul Arifin,Zoom Sangat Bagus .,5,2026-05-30 15:00:27
Aida Salsabila,sangat membantu,5,2026-05-30 00:29:44
Akun Kedua,"sering bug, kadang kalo masuk room, suara kita ga bisa terdengar🥲",4,2026-05-29 13:30:01
Ririn Asmawati,luar biasa kami bisa menggunakan zoom Workplace LBH mudah dan simple untuk presentasi online,5,2026-05-29 11:47:34
Teguh Bayu Bagasworo,mantab 👍👍👍,5,2026-05-29 04:06:24
Derew Masibe,"aplikasi aneh. virtual background memang ada, tapi ga bisa dipakai apalagi ga bisa pakai background dari gambar sendiri. kalah sama aplikasi sebelah. udh jadi app besarpun ga ada perbaikan. -10/10",1,2026-05-29 01:49:06
Febry Irwansa,"tidak bisa ganti background Zoom, nilai harusnya nol.",1,2026-05-28 14:50:02
Reni Miftahul,bagus,5,2026-05-28 13:13:09
Mimin Mintarsih,andai bintang bisa lebih dari lima ya bagus banget,5,2026-05-28 12:58:10
Mhd raffa21 Raffa,bagus sekali,5,2026-05-28 12:21:35
Iqbal Hippy,.keReen..,5,2026-05-28 03:20:03
Ruben Manullang,Mauliate ma di panitia,5,2026-05-28 02:32:28
Slepmen,aplikasi tolol mau buat akun meni ribet inilah itulah ujung ujungnya GK bisa tidak valid emang tolol ni aplikasi,1,2026-05-27 13:57:13
DANIEL ADE,sangat membantu,5,2026-05-27 11:22:16
Job,Good and helpful 👍🏼👍🏼,5,2026-05-26 23:39:06
M Surin,saya cobak kasih bintang 4 dulu,4,2026-05-26 06:10:34
Hasan Terapi Kesehatan,Good,5,2026-05-26 04:31:21
selvince haning,instal nggak bisa,1,2026-05-26 02:24:26
Febrianti Eri,"bagus, mantap.",5,2026-05-26 01:36:25
Ataturk Aulia,"tolol, harus banget apa kalo di hp login dlu, udah login cape cape kirain udah masuk di aplikasinya malah disuruh login lagi ujung ujungnya ke website Mulu, trus apa guna aplikasi kalo tabnya ke website Mulu",2,2026-05-25 23:32:37
CV. NIZAM TRICAL,mantap,5,2026-05-25 16:18:13
Marcella Sri Januwati,"Lancar dan sgt memberkati u pertemuan jarak jauh,menjangkau yg jauh di mana pun berada",4,2026-05-25 14:42:07
Treasure Maker,najis udah hapus sampe 1 gb pun masih ga bisa ke download ini app,1,2026-05-25 09:29:43
Andri Kurniawan,Tidak bisa login pakai akun pribadi ini bagaimana ya?,2,2026-05-25 09:09:07
juliyanto naim,aplikasi ini membuat saya binggu mendonlotnya pusing,5,2026-05-25 07:22:09
Yati Iteng,ok bagys,4,2026-05-25 01:52:42
Imam Mukhson,bagus,4,2026-05-25 00:18:28
Dapa Standar Tengah,login susah gak jelas!!!! masa kode benar disalah ke terus,1,2026-05-24 23:55:25
siti fatimah,keren,5,2026-05-24 12:13:53
Edo41 Htb,sangat membatu kerjaan saya terima kasih Zoom,5,2026-05-24 09:52:32
Griya Arrahmah,belajar semakin mudah Tampa halangan seolah olah jarak suatu wilayah menjadi semakin dekat,5,2026-05-23 23:17:34
Sam the real ganteng Fernandez,belajar online jauh lebih gampang,5,2026-05-23 08:27:56
Rahmat Alkarim,👍🏻👍🏻👍🏻👍🏻,5,2026-05-23 05:59:11
asrizal rizal,sudah baik,4,2026-05-23 04:59:22
Laila kurnia Sari,susah masuk ke aplikasinya ribet daripada masukin akun ga bisa bisa padahal udah bener semua,2,2026-05-23 04:14:06
Merlin Pangemanan,mantap,5,2026-05-23 02:39:52
Ayub Degei,ok,5,2026-05-23 01:45:21
Spd Supendi,ok,5,2026-05-22 23:23:04
Dimitri V.,"Aplikasi memakan banyak ruang penyimpanan, seharusnya aplikasi sederhana seperti ini dibawah 50mb saja. Kok sampe 600mb lebih? apalagi sekelas perusahaan besar 🤦‍♂️",1,2026-05-22 21:02:42
mariam khan,keren,5,2026-05-22 13:40:21
MAFIA,sangat bagus aplikasi zoom ini untuk webinar dan sebagainya,5,2026-05-22 12:54:25
Giofan Gilbert AM,sangat bagus,5,2026-05-22 12:00:52
Tamrinriah Riah,semogah bermampaat,5,2026-05-22 09:37:15
Dela Puspita,"sebenarnya sudah bagus, cuma di hp saya yang sudah support virtual background, ketika saya mulai rapat tetap tidak ada opsi untuk mengganti virtual background",2,2026-05-22 02:50:10
Travel Umroh,keren banget,5,2026-05-22 01:29:00
Fajar Dwiono,ok,5,2026-05-22 01:17:26
Budiman,tidak suport buat ganti background payah!,2,2026-05-22 00:31:12
Hilmi rivairamdani,"kenapa saya tidak bisa masuk dngn akun google, dan petunjuknya ""Maaf, Anda tidak dapat mendaftar Zoom pada saat ini.""",1,2026-05-21 22:27:24
Yuli Ana,good,5,2026-05-21 17:42:55
Hanafi Jaballah,bagus,5,2026-05-21 17:09:03
Indri yani,"zoom jangan picky sama android dong, masa cuma mau ganti baground dari hp aja gabisa huhu",2,2026-05-21 09:39:33
Arjunk Tarra',baru 4 baru pengecekan,4,2026-05-21 05:56:20
Raizel,"Apa ini, login google aja ga bisa",1,2026-05-21 05:55:16
Norman,good aplication. sahlun jiddan no embel embel.,5,2026-05-21 05:34:16
Muh Hafifuddin,tidak bisa menggantikan latar belakang,3,2026-05-21 03:51:58
Alfonsius Widiantoro,ok tetapi kenapa chat dimenu obrolan saya TDK bisa digunakan ya mohon dibantu,5,2026-05-21 03:29:57
Monica Agnessya,"di apk kolom komentar ngak bisa dibuka (hanya ada tulisan ""memuat""), jadi terpaksa join melalui web untuk bisa mengirimkan chat di kolom komentar, sering terjadi akhir² ini padahal jaringan aman, dulu ngak pernah gitu, beberapa bulan terakhir ini sering gitu, makin diperbaharui makin bermasalah. tolong ditingkatkan lagi ya, bukan hanya update aplikasi tapi isi² nya juga di perbaharui biar lebih bagus",1,2026-05-21 02:40:27
Mauro Arfazio,Alhamdulillah Bagus Bgt,5,2026-05-20 12:11:16
nana dada,saya tidak memahaminya. kenapa hal ini bisa terjadi?,1,2026-05-20 11:15:08
Zahrul Harmen,maaantaap,4,2026-05-20 10:04:10
Emad Mad,ready oke,5,2026-05-20 08:43:18
Ronaldy 28,sangat membantu,5,2026-05-20 06:26:28
baska kap,bagus walaupun agak lag,5,2026-05-20 03:49:22
Randi Susatrio,Tingkatkan terus....,5,2026-05-20 03:46:21
Iyet Dona,kenapa tidak bisa di install,5,2026-05-20 02:13:23
Holid Wahyudin,Ini bagus sangat membantu bisa menambah pengetahuan serta memudahkan untuk tanya jawab,5,2026-05-19 15:21:22
LEN5A BATU 12,ok,5,2026-05-19 14:05:55
Budi Dharma Sudhawasa,Very helpfull application.,5,2026-05-19 13:38:13
Prayitno Prayitno,ok,4,2026-05-19 13:37:36
Tega Jack,👍 bagus,5,2026-05-19 10:18:43
Malika Rizqi,sangat bagus untuk anak anak,5,2026-05-19 08:49:17
Dilla Sundari,"GILA YA ZOOM NI, RIBER BGT APLIKASINYA HARUS INI HARUS ITU MENDING GMEET KEMANA MANA",1,2026-05-19 03:20:21
Herman Amir,mantap,5,2026-05-19 03:13:17
alim abdya,sangat membantu dan terhubung dengan bbg kegiatan online,5,2026-05-19 02:46:52
Icha Sahaja,"Aplikasi virtual backgound tidak bisa digunakan. Ketika set background muncul notif ""an error occured"". Dapatkah saya mengetahui penyebabnya dan solusi apa yang harus saya lakukan ? Mohon pengarahan, agar aplikasi background tsb tidak error lagi sehingga saya dpt menggunakannya dg gambar yang saya perlukan. Terima kasih.",4,2026-05-18 23:20:06
I Ketut Budhi Dharma,bagus suara jernih gambar terang thank,5,2026-05-18 22:59:30
Omri Pukka Sitompul,"zoom sekarang lebih nyaman, komunikasi lancar",5,2026-05-18 22:13:15
Merta I Ketut,sangat membantu,5,2026-05-18 10:58:18
Eko Taryono,sangat mendukung,5,2026-05-18 10:47:00
Hermione Arlenne Tedry,berguna untuk rapat,5,2026-05-18 07:10:24
Jaliyia Burke,This application is helpful to get connection with anyone else. I can change my background with any options and get some cute and funny filters. Such a great apps and useful !!,4,2026-05-18 01:03:07
Keynara Aishwa,bagus bisa buat daring lewat zoom ini 100% ampuh,5,2026-05-17 12:48:35
Kencana Mulya,ok,5,2026-05-17 12:02:13
Tabs2 2018 (Rahman),👍sangat berguna,5,2026-05-17 06:06:18
candra Dirgantara,memuaskan,5,2026-05-17 04:57:53
abdul syukur,"ini kenapa zoom? kode masuk udah bener, tapi di sistem salah terus, aneh.",1,2026-05-17 04:11:27
PInaringan Wicaksono Pinaringan,yaa.sangat canggih dengan aplikasi lainnya sangat bermanfaat untuk meet pendidikan saat digunakan suara bisa bekerja dan mampu melihat semua sistem,4,2026-05-17 04:05:25
Riyadiie 087,sangat bermanfaat,5,2026-05-17 03:50:51
Asilah Zhy,baik,5,2026-05-17 00:43:13
Butet Minggu,mengapa saya sulit klem host ya,2,2026-05-16 05:34:58
Aku Atomic Lah,"update terbaru ini menurutku benar-benar sampah sih,",1,2026-05-16 01:39:35
Umi Luqman,"gabisa pasang background pliss, eror muluu",1,2026-05-16 01:21:08
Dika Aza,Bagus,5,2026-05-15 14:22:11
SEMUEL SELE,Aplikasi bagus,5,2026-05-15 13:37:25
Masdian S.Sos.I,Goodlah,5,2026-05-15 11:22:43
Mohammad Ibrahim,kameranya gelap terus,1,2026-05-15 06:12:54
Miyani Yani,bagus banget membantu banget,5,2026-05-15 04:23:15
Samsung A21,tdk bisa donltot mohon solusi,5,2026-05-14 14:16:06
Asri Mahamusa,sangat baik untuk miting,5,2026-05-14 10:44:01
agus sunarto,bagus,5,2026-05-14 07:09:33
van zul,good,5,2026-05-14 04:50:18
J,Baik,5,2026-05-14 04:00:42
Putri Sabrina,siap,5,2026-05-13 19:15:04
NURRA Hits,the best,5,2026-05-13 14:15:30
Ahmad,ampun dah login nya sekarang jadi susah sama tampilan nya tambah ribet,3,2026-05-13 11:59:17
Joko Manalu,aplikasi ini luar biasa,5,2026-05-13 10:45:15
Alya Rahma Febiantri,"Banyak erornya, sudah update ke versi terbaru dan jaringan stabil juga masih tetap eror, entah di bagian kamera ataupun audio. Virtual Background tidak bisa dipakai, selalu muncul bacaan ""An Eror Occurred""",1,2026-05-13 09:42:57
Somen Shakir,ok,5,2026-05-13 09:31:49
M Arya Mahmuda,BABI ... LOGIN AKUN DI DESKTOP DENGAN EMAIL YANG SAMA BANYAK KALI KEAMANAN GAK PENTING. BELAJAR DARI GOOGLE LAH MEMPERMUDAH PENGGUNA. INI PAKAI (This Page isnt responding) SIALAN AKU MAU CEPAT MALAH LAMBAT.,2,2026-05-13 09:11:54
Dewi Harmala Sari,memudahkan segalanya,5,2026-05-13 05:59:09
Lisrawita 84,jaringan kurang bagus saat live berlansung,4,2026-05-13 04:56:47
Afnan Afrijal,"sudah login, namun sering kali kendala tidak bisa join zoom meeting.",1,2026-05-13 03:29:29
Abdul Ghofur,baik,5,2026-05-13 03:24:41
Boan BNZ,tolong tambahin juga layar background untuk android,4,2026-05-13 02:03:19
MistaFimal Duha,"Sering keluar pas lagi rapat padahal jaringan stabil!!! Ini tolong perbaiki dong, padahal dulu gakayak gini deh,makin kesini makin kesana:(",1,2026-05-12 12:31:42
Reymer Edin,bagus,5,2026-05-12 12:27:27
JaGaTraDisi Chanel Annas,aplikasi ini sangat berguna bagi pekerja yang mempunyai perkantoran dengan banyak cabang di berbagai daerah,5,2026-05-12 04:36:25
